,Unnamed: 0,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0.1,Verifier,instance,solved_bool,solved,score
1251,9387,,cifar,0.012,N34,CIFAR_P51_N34,sat,2149.553,987.0,babsb,CIFAR_P51_N34 N34 0.012,True,1,1
1267,9341,,cifar,0.012,N34,CIFAR_P34_N34,sat,2280.736,941.0,babsb,CIFAR_P34_N34 N34 0.012,True,1,1
1268,9344,,cifar,0.012,N13,CIFAR_P92_N13,sat,1679.7469,944.0,babsb,CIFAR_P92_N13 N13 0.012,True,1,1
1270,9354,,cifar,0.012,N17,CIFAR_P47_N17,sat,545.3875,954.0,babsb,CIFAR_P47_N17 N17 0.012,True,1,1
1271,9355,,cifar,0.012,N18,CIFAR_P45_N18,sat,2166.8253,955.0,babsb,CIFAR_P45_N18 N18 0.012,True,1,1
1273,9359,,cifar,0.012,N34,CIFAR_P82_N34,sat,2143.7074,959.0,babsb,CIFAR_P82_N34 N34 0.012,True,1,1
1279,9467,,cifar,0.012,N32,CIFAR_P73_N32,sat,1583.4686,1067.0,babsb,CIFAR_P73_N32 N32 0.012,True,1,1
1283,9453,,cifar,0.012,N34,CIFAR_P77_N34,sat,2183.8989,1053.0,babsb,CIFAR_P77_N34 N34 0.012,True,1,1
1291,9477,,cifar,0.012,N18,CIFAR_P2_N18,sat,2396.8283,1077.0,babsb,CIFAR_P2_N18 N18 0.012,True,1,1
1302,9414,,cifar,0.012,N34,CIFAR_P5_N34,sat,2250.4798,1014.0,babsb,CIFAR_P5_N34 N34 0.012,True,1,1
1306,9427,,cifar,0.012,N17,CIFAR_P73_N17,sat,549.0374,1027.0,babsb,CIFAR_P73_N17 N17 0.012,True,1,1
1311,9435,,cifar,0.012,N17,CIFAR_P41_N17,sat,551.2476,1035.0,babsb,CIFAR_P41_N17 N17 0.012,True,1,1
1317,9311,,cifar,0.012,N17,CIFAR_P33_N17,sat,1114.2783,911.0,babsb,CIFAR_P33_N17 N17 0.012,True,1,1
1326,9204,,cifar,0.012,N32,CIFAR_P12_N32,sat,1541.8087,804.0,babsb,CIFAR_P12_N32 N32 0.012,True,1,1
1329,9207,,cifar,0.012,N18,CIFAR_P9_N18,sat,2305.6767,807.0,babsb,CIFAR_P9_N18 N18 0.012,True,1,1
1331,9210,,cifar,0.012,N17,CIFAR_P48_N17,sat,557.7044,810.0,babsb,CIFAR_P48_N17 N17 0.012,True,1,1
1334,9219,,cifar,0.012,N18,CIFAR_P28_N18,sat,2252.1001,819.0,babsb,CIFAR_P28_N18 N18 0.012,True,1,1
