,Unnamed: 0,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0.1,Verifier,instance,solved_bool,solved,score
4142,8544,,mnist,0.012,N15,MNIST_P3_N15,unsat,52.6161,4144.0,verinet,MNIST_P3_N15 N15 0.012,True,1,1
4143,8330,,mnist,0.012,N49,MNIST_P92_N49,sat,39.9901,3930.0,verinet,MNIST_P92_N49 N49 0.012,True,1,1
4144,8423,,mnist,0.012,N5,MNIST_P80_N5,unsat,49.4553,4023.0,verinet,MNIST_P80_N5 N5 0.012,True,1,1
4145,8426,,mnist,0.012,N49,MNIST_P89_N49,unsat,59.3674,4026.0,verinet,MNIST_P89_N49 N49 0.012,True,1,1
4146,8427,,mnist,0.012,N49,MNIST_P75_N49,unsat,57.1169,4027.0,verinet,MNIST_P75_N49 N49 0.012,True,1,1
4147,8435,,mnist,0.012,N49,MNIST_P95_N49,unsat,59.6906,4035.0,verinet,MNIST_P95_N49 N49 0.012,True,1,1
4148,8445,,mnist,0.012,N18,MNIST_P55_N18,unsat,52.7161,4045.0,verinet,MNIST_P55_N18 N18 0.012,True,1,1
4149,8473,,mnist,0.012,N48,MNIST_P77_N48,sat,52.7305,4073.0,verinet,MNIST_P77_N48 N48 0.012,True,1,1
4150,8478,,mnist,0.012,N18,MNIST_P64_N18,unsat,50.5834,4078.0,verinet,MNIST_P64_N18 N18 0.012,True,1,1
4151,8480,,mnist,0.012,N5,MNIST_P16_N5,unsat,50.5868,4080.0,verinet,MNIST_P16_N5 N5 0.012,True,1,1
4152,8496,,mnist,0.012,N14,MNIST_P55_N14,unsat,60.6037,4096.0,verinet,MNIST_P55_N14 N14 0.012,True,1,1
4153,8508,,mnist,0.012,N18,MNIST_P21_N18,unsat,51.2802,4108.0,verinet,MNIST_P21_N18 N18 0.012,True,1,1
4154,8512,,mnist,0.012,N5,MNIST_P64_N5,unsat,49.9916,4112.0,verinet,MNIST_P64_N5 N5 0.012,True,1,1
4155,8521,,mnist,0.012,N5,MNIST_P81_N5,unsat,50.9136,4121.0,verinet,MNIST_P81_N5 N5 0.012,True,1,1
4156,8523,,mnist,0.012,N48,MNIST_P39_N48,unsat,58.8234,4123.0,verinet,MNIST_P39_N48 N48 0.012,True,1,1
4157,8525,,mnist,0.012,N15,MNIST_P48_N15,unsat,49.4526,4125.0,verinet,MNIST_P48_N15 N15 0.012,True,1,1
4158,8531,,mnist,0.012,N49,MNIST_P13_N49,unsat,60.7198,4131.0,verinet,MNIST_P13_N49 N49 0.012,True,1,1
4159,8421,,mnist,0.012,N5,MNIST_P67_N5,unsat,49.2666,4021.0,verinet,MNIST_P67_N5 N5 0.012,True,1,1
4160,8408,,mnist,0.012,N5,MNIST_P0_N5,unsat,50.5826,4008.0,verinet,MNIST_P0_N5 N5 0.012,True,1,1
4161,8405,,mnist,0.012,N14,MNIST_P79_N14,unsat,60.3327,4005.0,verinet,MNIST_P79_N14 N14 0.012,True,1,1
4162,8378,,mnist,0.012,N48,MNIST_P68_N48,unsat,59.807,3978.0,verinet,MNIST_P68_N48 N48 0.012,True,1,1
4163,8333,,mnist,0.012,N49,MNIST_P35_N49,unsat,59.5621,3933.0,verinet,MNIST_P35_N49 N49 0.012,True,1,1
4164,8334,,mnist,0.012,N49,MNIST_P61_N49,unsat,60.1582,3934.0,verinet,MNIST_P61_N49 N49 0.012,True,1,1
4165,8350,,mnist,0.012,N5,MNIST_P9_N5,unsat,50.9726,3950.0,verinet,MNIST_P9_N5 N5 0.012,True,1,1
4166,8352,,mnist,0.012,N14,MNIST_P58_N14,unsat,62.471,3952.0,verinet,MNIST_P58_N14 N14 0.012,True,1,1
