,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
70316,,,0.03,62.0,cifar_conv_maxpool.onnx,unsat,28.113,3762.0,,eran,62.0 cifar_conv_maxpool.onnx 0.03,1,1,True
70317,,,0.04,62.0,cifar_conv_maxpool.onnx,unsat,28.017,3762.0,,eran,62.0 cifar_conv_maxpool.onnx 0.04,1,1,True
71481,,,0.004,63.0,cifar_conv_maxpool.onnx,unsat,23.075,3763.0,,eran,63.0 cifar_conv_maxpool.onnx 0.004,1,1,True
71486,,,0.005,63.0,cifar_conv_maxpool.onnx,unsat,23.207,3763.0,,eran,63.0 cifar_conv_maxpool.onnx 0.005,1,1,True
71488,,,0.008,63.0,cifar_conv_maxpool.onnx,unsat,23.087,3763.0,,eran,63.0 cifar_conv_maxpool.onnx 0.008,1,1,True
71492,,,0.01,63.0,cifar_conv_maxpool.onnx,unsat,23.294,3763.0,,eran,63.0 cifar_conv_maxpool.onnx 0.01,1,1,True
71493,,,0.012,63.0,cifar_conv_maxpool.onnx,unsat,23.007,3763.0,,eran,63.0 cifar_conv_maxpool.onnx 0.012,1,1,True
71496,,,0.02,63.0,cifar_conv_maxpool.onnx,unsat,23.098,3763.0,,eran,63.0 cifar_conv_maxpool.onnx 0.02,1,1,True
71501,,,0.025,63.0,cifar_conv_maxpool.onnx,unsat,22.936,3763.0,,eran,63.0 cifar_conv_maxpool.onnx 0.025,1,1,True
71502,,,0.03,63.0,cifar_conv_maxpool.onnx,unsat,23.06,3763.0,,eran,63.0 cifar_conv_maxpool.onnx 0.03,1,1,True
71506,,,0.04,63.0,cifar_conv_maxpool.onnx,unsat,23.206,3763.0,,eran,63.0 cifar_conv_maxpool.onnx 0.04,1,1,True
72667,,,0.004,64.0,cifar_conv_maxpool.onnx,unsat,24.81,3764.0,,eran,64.0 cifar_conv_maxpool.onnx 0.004,1,1,True
72670,,,0.005,64.0,cifar_conv_maxpool.onnx,unsat,24.758,3764.0,,eran,64.0 cifar_conv_maxpool.onnx 0.005,1,1,True
67924,,,0.008,60.0,cifar_conv_maxpool.onnx,unsat,1210.071,3760.0,,eran,60.0 cifar_conv_maxpool.onnx 0.008,1,1,True
67918,,,0.004,60.0,cifar_conv_maxpool.onnx,unsat,772.558,3760.0,,eran,60.0 cifar_conv_maxpool.onnx 0.004,1,1,True
61994,,,0.01,56.0,cifar_conv_maxpool.onnx,unsat,1153.214,3756.0,,eran,56.0 cifar_conv_maxpool.onnx 0.01,1,1,True
64369,,,0.01,58.0,cifar_conv_maxpool.onnx,unsat,25.021,3758.0,,eran,58.0 cifar_conv_maxpool.onnx 0.01,1,1,True
61996,,,0.012,56.0,cifar_conv_maxpool.onnx,unsat,1148.465,3756.0,,eran,56.0 cifar_conv_maxpool.onnx 0.012,1,1,True
61999,,,0.02,56.0,cifar_conv_maxpool.onnx,unsat,1530.958,3756.0,,eran,56.0 cifar_conv_maxpool.onnx 0.02,1,1,True
63172,,,0.004,57.0,cifar_conv_maxpool.onnx,unsat,23.328,3757.0,,eran,57.0 cifar_conv_maxpool.onnx 0.004,1,1,True
63174,,,0.005,57.0,cifar_conv_maxpool.onnx,unsat,23.415,3757.0,,eran,57.0 cifar_conv_maxpool.onnx 0.005,1,1,True
63177,,,0.008,57.0,cifar_conv_maxpool.onnx,unsat,23.396,3757.0,,eran,57.0 cifar_conv_maxpool.onnx 0.008,1,1,True
63181,,,0.01,57.0,cifar_conv_maxpool.onnx,unsat,23.5,3757.0,,eran,57.0 cifar_conv_maxpool.onnx 0.01,1,1,True
63185,,,0.012,57.0,cifar_conv_maxpool.onnx,unsat,23.345,3757.0,,eran,57.0 cifar_conv_maxpool.onnx 0.012,1,1,True
63188,,,0.02,57.0,cifar_conv_maxpool.onnx,unsat,23.283,3757.0,,eran,57.0 cifar_conv_maxpool.onnx 0.02,1,1,True
63190,,,0.025,57.0,cifar_conv_maxpool.onnx,unsat,23.222,3757.0,,eran,57.0 cifar_conv_maxpool.onnx 0.025,1,1,True
63192,,,0.03,57.0,cifar_conv_maxpool.onnx,unsat,23.327,3757.0,,eran,57.0 cifar_conv_maxpool.onnx 0.03,1,1,True
63195,,,0.04,57.0,cifar_conv_maxpool.onnx,unsat,23.259,3757.0,,eran,57.0 cifar_conv_maxpool.onnx 0.04,1,1,True
64359,,,0.004,58.0,cifar_conv_maxpool.onnx,unsat,24.996,3758.0,,eran,58.0 cifar_conv_maxpool.onnx 0.004,1,1,True
64364,,,0.005,58.0,cifar_conv_maxpool.onnx,unsat,24.868,3758.0,,eran,58.0 cifar_conv_maxpool.onnx 0.005,1,1,True
64365,,,0.008,58.0,cifar_conv_maxpool.onnx,unsat,24.713,3758.0,,eran,58.0 cifar_conv_maxpool.onnx 0.008,1,1,True
64373,,,0.012,58.0,cifar_conv_maxpool.onnx,unsat,24.991,3758.0,,eran,58.0 cifar_conv_maxpool.onnx 0.012,1,1,True
66748,,,0.025,6.0,cifar_conv_maxpool.onnx,unsat,1634.172,3706.0,,eran,6.0 cifar_conv_maxpool.onnx 0.025,1,1,True
64376,,,0.02,58.0,cifar_conv_maxpool.onnx,unsat,24.848,3758.0,,eran,58.0 cifar_conv_maxpool.onnx 0.02,1,1,True
64379,,,0.025,58.0,cifar_conv_maxpool.onnx,unsat,24.668,3758.0,,eran,58.0 cifar_conv_maxpool.onnx 0.025,1,1,True
64382,,,0.03,58.0,cifar_conv_maxpool.onnx,unsat,24.813,3758.0,,eran,58.0 cifar_conv_maxpool.onnx 0.03,1,1,True
64385,,,0.04,58.0,cifar_conv_maxpool.onnx,unsat,24.716,3758.0,,eran,58.0 cifar_conv_maxpool.onnx 0.04,1,1,True
65543,,,0.004,59.0,cifar_conv_maxpool.onnx,unsat,770.18,3759.0,,eran,59.0 cifar_conv_maxpool.onnx 0.004,1,1,True
65544,,,0.005,59.0,cifar_conv_maxpool.onnx,unsat,859.092,3759.0,,eran,59.0 cifar_conv_maxpool.onnx 0.005,1,1,True
65547,,,0.008,59.0,cifar_conv_maxpool.onnx,unsat,1192.169,3759.0,,eran,59.0 cifar_conv_maxpool.onnx 0.008,1,1,True
65553,,,0.012,59.0,cifar_conv_maxpool.onnx,unsat,1289.036,3759.0,,eran,59.0 cifar_conv_maxpool.onnx 0.012,1,1,True
65561,,,0.025,59.0,cifar_conv_maxpool.onnx,unsat,1929.598,3759.0,,eran,59.0 cifar_conv_maxpool.onnx 0.025,1,1,True
66731,,,0.004,6.0,cifar_conv_maxpool.onnx,unsat,678.293,3706.0,,eran,6.0 cifar_conv_maxpool.onnx 0.004,1,1,True
66732,,,0.005,6.0,cifar_conv_maxpool.onnx,unsat,662.746,3706.0,,eran,6.0 cifar_conv_maxpool.onnx 0.005,1,1,True
66737,,,0.008,6.0,cifar_conv_maxpool.onnx,unsat,972.711,3706.0,,eran,6.0 cifar_conv_maxpool.onnx 0.008,1,1,True
66739,,,0.01,6.0,cifar_conv_maxpool.onnx,unsat,1227.896,3706.0,,eran,6.0 cifar_conv_maxpool.onnx 0.01,1,1,True
66743,,,0.012,6.0,cifar_conv_maxpool.onnx,unsat,1267.362,3706.0,,eran,6.0 cifar_conv_maxpool.onnx 0.012,1,1,True
50103,,,0.004,47.0,cifar_conv_maxpool.onnx,unsat,645.956,3747.0,,eran,47.0 cifar_conv_maxpool.onnx 0.004,1,1,True
48926,,,0.005,46.0,cifar_conv_maxpool.onnx,unsat,1011.082,3746.0,,eran,46.0 cifar_conv_maxpool.onnx 0.005,1,1,True
23997,,,0.008,27.0,cifar_conv_maxpool.onnx,unsat,1025.821,3727.0,,eran,27.0 cifar_conv_maxpool.onnx 0.008,1,1,True
31132,,,0.025,32.0,cifar_conv_maxpool.onnx,unsat,25.034,3732.0,,eran,32.0 cifar_conv_maxpool.onnx 0.025,1,1,True
32304,,,0.01,33.0,cifar_conv_maxpool.onnx,unsat,1314.549,3733.0,,eran,33.0 cifar_conv_maxpool.onnx 0.01,1,1,True
32303,,,0.008,33.0,cifar_conv_maxpool.onnx,unsat,1060.368,3733.0,,eran,33.0 cifar_conv_maxpool.onnx 0.008,1,1,True
32298,,,0.005,33.0,cifar_conv_maxpool.onnx,unsat,893.674,3733.0,,eran,33.0 cifar_conv_maxpool.onnx 0.005,1,1,True
32297,,,0.004,33.0,cifar_conv_maxpool.onnx,unsat,790.58,3733.0,,eran,33.0 cifar_conv_maxpool.onnx 0.004,1,1,True
31137,,,0.04,32.0,cifar_conv_maxpool.onnx,unsat,25.109,3732.0,,eran,32.0 cifar_conv_maxpool.onnx 0.04,1,1,True
31136,,,0.03,32.0,cifar_conv_maxpool.onnx,unsat,25.031,3732.0,,eran,32.0 cifar_conv_maxpool.onnx 0.03,1,1,True
31130,,,0.02,32.0,cifar_conv_maxpool.onnx,unsat,25.066,3732.0,,eran,32.0 cifar_conv_maxpool.onnx 0.02,1,1,True
48921,,,0.004,46.0,cifar_conv_maxpool.onnx,unsat,738.797,3746.0,,eran,46.0 cifar_conv_maxpool.onnx 0.004,1,1,True
31125,,,0.012,32.0,cifar_conv_maxpool.onnx,unsat,25.173,3732.0,,eran,32.0 cifar_conv_maxpool.onnx 0.012,1,1,True
31122,,,0.01,32.0,cifar_conv_maxpool.onnx,unsat,25.351,3732.0,,eran,32.0 cifar_conv_maxpool.onnx 0.01,1,1,True
31120,,,0.008,32.0,cifar_conv_maxpool.onnx,unsat,25.096,3732.0,,eran,32.0 cifar_conv_maxpool.onnx 0.008,1,1,True
31118,,,0.005,32.0,cifar_conv_maxpool.onnx,unsat,25.079,3732.0,,eran,32.0 cifar_conv_maxpool.onnx 0.005,1,1,True
31113,,,0.004,32.0,cifar_conv_maxpool.onnx,unsat,25.431,3732.0,,eran,32.0 cifar_conv_maxpool.onnx 0.004,1,1,True
29935,,,0.01,31.0,cifar_conv_maxpool.onnx,unsat,1716.436,3731.0,,eran,31.0 cifar_conv_maxpool.onnx 0.01,1,1,True
32309,,,0.012,33.0,cifar_conv_maxpool.onnx,unsat,1320.931,3733.0,,eran,33.0 cifar_conv_maxpool.onnx 0.012,1,1,True
33483,,,0.004,34.0,cifar_conv_maxpool.onnx,unsat,687.235,3734.0,,eran,34.0 cifar_conv_maxpool.onnx 0.004,1,1,True
33486,,,0.005,34.0,cifar_conv_maxpool.onnx,unsat,725.802,3734.0,,eran,34.0 cifar_conv_maxpool.onnx 0.005,1,1,True
33489,,,0.008,34.0,cifar_conv_maxpool.onnx,unsat,1152.117,3734.0,,eran,34.0 cifar_conv_maxpool.onnx 0.008,1,1,True
33492,,,0.01,34.0,cifar_conv_maxpool.onnx,unsat,1459.443,3734.0,,eran,34.0 cifar_conv_maxpool.onnx 0.01,1,1,True
33495,,,0.012,34.0,cifar_conv_maxpool.onnx,unsat,1490.973,3734.0,,eran,34.0 cifar_conv_maxpool.onnx 0.012,1,1,True
34672,,,0.004,35.0,cifar_conv_maxpool.onnx,unsat,24.173,3735.0,,eran,35.0 cifar_conv_maxpool.onnx 0.004,1,1,True
34674,,,0.005,35.0,cifar_conv_maxpool.onnx,unsat,24.005,3735.0,,eran,35.0 cifar_conv_maxpool.onnx 0.005,1,1,True
34677,,,0.008,35.0,cifar_conv_maxpool.onnx,unsat,23.898,3735.0,,eran,35.0 cifar_conv_maxpool.onnx 0.008,1,1,True
34680,,,0.01,35.0,cifar_conv_maxpool.onnx,unsat,24.219,3735.0,,eran,35.0 cifar_conv_maxpool.onnx 0.01,1,1,True
34683,,,0.012,35.0,cifar_conv_maxpool.onnx,unsat,23.962,3735.0,,eran,35.0 cifar_conv_maxpool.onnx 0.012,1,1,True
34686,,,0.02,35.0,cifar_conv_maxpool.onnx,unsat,23.877,3735.0,,eran,35.0 cifar_conv_maxpool.onnx 0.02,1,1,True
34689,,,0.025,35.0,cifar_conv_maxpool.onnx,unsat,23.903,3735.0,,eran,35.0 cifar_conv_maxpool.onnx 0.025,1,1,True
34692,,,0.03,35.0,cifar_conv_maxpool.onnx,unsat,24.022,3735.0,,eran,35.0 cifar_conv_maxpool.onnx 0.03,1,1,True
34696,,,0.04,35.0,cifar_conv_maxpool.onnx,unsat,23.799,3735.0,,eran,35.0 cifar_conv_maxpool.onnx 0.04,1,1,True
35861,,,0.004,36.0,cifar_conv_maxpool.onnx,unsat,28.83,3736.0,,eran,36.0 cifar_conv_maxpool.onnx 0.004,1,1,True
35862,,,0.005,36.0,cifar_conv_maxpool.onnx,unsat,28.684,3736.0,,eran,36.0 cifar_conv_maxpool.onnx 0.005,1,1,True
