,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
40269,,,0.01,75.0,mnist_relu_9_100.onnx,time-out or unsolved,3600.0,275.0,275.0,eran,75.0 mnist_relu_9_100.onnx 0.01,0,0,False
42814,,,0.03,8.0,mnist_net_256_6.onnx,time-out,3600.0,208.0,,eran,8.0 mnist_net_256_6.onnx 0.03,0,0,False
42816,,,0.04,8.0,mnist_net_256_6.onnx,time-out or unsolved,3600.0,208.0,,abcrown,8.0 mnist_net_256_6.onnx 0.04,0,0,False
42817,,,0.04,8.0,mnist_net_256_6.onnx,time-out,3600.0,208.0,,eran,8.0 mnist_net_256_6.onnx 0.04,0,0,False
7333,,,0.02,20.0,mnist_net_256_6.onnx,time-out or unsolved,3600.0,220.0,,abcrown,20.0 mnist_net_256_6.onnx 0.02,0,0,False
5970,,,0.008,18.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,118.0,,abcrown,18.0 rsl18a_linf01.onnx 0.008,0,0,False
40266,,,0.008,75.0,mnist_relu_9_100.onnx,time-out or unsolved,3600.0,275.0,275.0,eran,75.0 mnist_relu_9_100.onnx 0.008,0,0,False
42821,,,0.004,8.0,mnist_nn.onnx,time-out or unsolved,3600.0,808.0,,abcrown,8.0 mnist_nn.onnx 0.004,0,0,False
40265,,,0.005,75.0,mnist_relu_9_100.onnx,time-out or unsolved,3600.0,275.0,275.0,eran,75.0 mnist_relu_9_100.onnx 0.005,0,0,False
7335,,,0.025,20.0,mnist_net_256_6.onnx,time-out,3600.0,220.0,,eran,20.0 mnist_net_256_6.onnx 0.025,0,0,False
42823,,,0.005,8.0,mnist_nn.onnx,time-out or unsolved,3600.0,808.0,,abcrown,8.0 mnist_nn.onnx 0.005,0,0,False
5967,,,0.005,18.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,118.0,,abcrown,18.0 rsl18a_linf01.onnx 0.005,0,0,False
40262,,,0.004,75.0,mnist_relu_9_100.onnx,time-out or unsolved,3600.0,275.0,275.0,eran,75.0 mnist_relu_9_100.onnx 0.004,0,0,False
42827,,,0.008,8.0,mnist_nn.onnx,time-out or unsolved,3600.0,808.0,,abcrown,8.0 mnist_nn.onnx 0.008,0,0,False
7337,,,0.025,20.0,mnist_net_256_6.onnx,time-out or unsolved,3600.0,220.0,,abcrown,20.0 mnist_net_256_6.onnx 0.025,0,0,False
42828,,,0.01,8.0,mnist_nn.onnx,time-out or unsolved,3600.0,808.0,,abcrown,8.0 mnist_nn.onnx 0.01,0,0,False
40259,,,0.04,75.0,mnist_relu_6_200.onnx,time-out or unsolved,3600.0,175.0,175.0,eran,75.0 mnist_relu_6_200.onnx 0.04,0,0,False
5964,,,0.004,18.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,118.0,,abcrown,18.0 rsl18a_linf01.onnx 0.004,0,0,False
5936,,,0.04,18.0,mnist_relu_9_100.onnx,time-out or unsolved,3600.0,218.0,218.0,eran,18.0 mnist_relu_9_100.onnx 0.04,0,0,False
42813,,,0.03,8.0,mnist_net_256_6.onnx,time-out or unsolved,3600.0,208.0,,abcrown,8.0 mnist_net_256_6.onnx 0.03,0,0,False
7331,,,0.012,20.0,mnist_net_256_6.onnx,time-out or unsolved,3600.0,220.0,,abcrown,20.0 mnist_net_256_6.onnx 0.012,0,0,False
42812,,,0.025,8.0,mnist_net_256_6.onnx,time-out,3600.0,208.0,,eran,8.0 mnist_net_256_6.onnx 0.025,0,0,False
40282,,,0.03,75.0,mnist_relu_9_100.onnx,time-out or unsolved,3600.0,275.0,275.0,eran,75.0 mnist_relu_9_100.onnx 0.03,0,0,False
5982,,,0.025,18.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,118.0,,abcrown,18.0 rsl18a_linf01.onnx 0.025,0,0,False
7325,,,0.008,20.0,mnist_net_256_6.onnx,time-out or unsolved,3600.0,220.0,,abcrown,20.0 mnist_net_256_6.onnx 0.008,0,0,False
42797,,,0.005,8.0,mnist_net_256_6.onnx,time-out or unsolved,3600.0,208.0,,abcrown,8.0 mnist_net_256_6.onnx 0.005,0,0,False
5980,,,0.02,18.0,rsl18a_linf01.onnx,time-out or unsolved,3600.0,118.0,,abcrown,18.0 rsl18a_linf01.onnx 0.02,0,0,False
